record_id,record_type,CV_fit_time,CV_score_time,refit_time,CV_accuracy,CV_balanced_accuracy,CV_F1_score,CV_precision,CV_recall,CV_roc_auc,CV_R2_score,CV_mse,CV_rmse,CV_mae,Test_accuracy,Test_balanced_accuracy,Test_f1_score,Test_precision,Test_recall,Test_hamming_loss,Test_jaccard_score,Test_log_loss,Test_classification_report,Test_false_negatives,Test_false_positives,Test_true_negatives,Test_true_positives,Test_confusion_matrix,Test_r2_score,Test_mse,Test_rmse,Test_mae,Test_explained_variance_score,data,goal,model_type,question,record_count,target,scalar,balancer,hyperparameters,features
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycIuJRFxQL,cv,0.00745,0.00568,,0.94947,0.94889,0.94941,0.95043,0.94947,0.98289,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 5, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_samples': 0.5, 'max_leaf_nodes': 100, 'max_features': 'sqrt', 'max_depth': 100, 'criterion': 'entropy', 'class_weight': None}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
ggiCoQgTnb,cv,0.01311,0.00627,,0.96842,0.96667,0.96732,0.97571,0.96842,1.0,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 0.1, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 100, 'criterion': 'gini', 'class_weight': None}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
AHkH0Sqmdv,cv,0.00707,0.00605,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 5, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': None, 'max_leaf_nodes': 10, 'max_features': 10, 'max_depth': 100, 'criterion': 'entropy', 'class_weight': 'balanced'}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
R7r1oZh8VD,cv,0.0128,0.00698,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_samples': 0.5, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced'}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
G26AOvuYGA,cv,0.01246,0.00717,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_samples': 0.5, 'max_leaf_nodes': 100, 'max_features': 10, 'max_depth': None, 'criterion': 'gini', 'class_weight': None}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
uJBTGJL2ae,cv,0.01471,0.0063,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': None, 'max_leaf_nodes': 100, 'max_features': None, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
xWFJB7ysqq,cv,0.01421,0.0064,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': None, 'max_leaf_nodes': 100, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced'}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
fsVIok4lFr,cv,0.00727,0.00556,,0.97,0.97,0.96992,0.97071,0.97,0.996,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 5, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_samples': None, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini', 'class_weight': 'balanced'}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
VCYsIr8v38,cv,0.01317,0.00769,,0.51053,0.5,0.34535,0.26108,0.51053,0.5,,,,,,,,,,,,,,,,,,,,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': 0.1, 'max_leaf_nodes': 100, 'max_features': 10, 'max_depth': 100, 'criterion': 'entropy', 'class_weight': 'balanced'}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
CY4Ab4y8hT,test,0.01357,0.00647,0.0164,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.55,0.5,0.52308,0.52,0.55,0.45,0.37273,9.05846,"{'False': {'precision': 0.6, 'recall': 0.75, 'f1-score': 0.6666666666666665, 'support': 12}, 'True': {'precision': 0.4, 'recall': 0.25, 'f1-score': 0.3076923076923077, 'support': 8}, 'accuracy': 0.55, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.4871794871794871, 'support': 20}, 'weighted avg': {'precision': 0.5199999999999999, 'recall': 0.55, 'f1-score': 0.523076923076923, 'support': 20}}",6.0,3.0,9.0,2.0,"[[9 3]
 [6 2]]",,,,,,text,cls,Forest Cls,non_td,100,T2_CLS_ufc_>0,power,smote,"{'random_state': 7, 'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_samples': None, 'max_leaf_nodes': 10, 'max_features': 10, 'max_depth': None, 'criterion': 'gini', 'class_weight': None}","['review_char_count', 'review_word_count', 'review_char_per_word', 'review_sgd_cls_pred_False', 'review_sgd_cls_pred_True', 'review_naive_bayes_pred_False', 'review_naive_bayes_pred_True', 'review_token_count', 'review_perc_ent', 'review_perc_x', 'review_perc_noun', 'review_perc_det', 'review_perc_punct', 'review_perc_pron', 'review_perc_adv', 'review_perc_num', 'review_perc_verb', 'review_perc_intj', 'review_perc_sym', 'review_perc_aux', 'review_perc_adp', 'review_perc_part', 'review_perc_propn', 'review_perc_sconj', 'review_perc_conj', 'review_perc_adj', 'review_perc_root', 'review_perc_acl', 'review_perc_acomp', 'review_perc_advcl', 'review_perc_advmod', 'review_perc_agent', 'review_perc_amod', 'review_perc_appos', 'review_perc_attr', 'review_perc_auxpass', 'review_perc_case', 'review_perc_cc', 'review_perc_ccomp', 'review_perc_compound', 'review_perc_csubj', 'review_perc_csubjpass', 'review_perc_dative', 'review_perc_dep', 'review_perc_dobj', 'review_perc_expl', 'review_perc_mark', 'review_perc_meta', 'review_perc_neg', 'review_perc_nmod', 'review_perc_npadvmod', 'review_perc_nsubj', 'review_perc_nsubjpass', 'review_perc_nummod', 'review_perc_oprd', 'review_perc_parataxis', 'review_perc_pcomp', 'review_perc_pobj', 'review_perc_poss', 'review_perc_preconj', 'review_perc_predet', 'review_perc_prep', 'review_perc_prt', 'review_perc_quantmod', 'review_perc_relcl', 'review_perc_xcomp', 'review_perc_cardinal', 'review_perc_date', 'review_perc_event', 'review_perc_fac', 'review_perc_gpe', 'review_perc_language', 'review_perc_law', 'review_perc_loc', 'review_perc_money', 'review_perc_norp', 'review_perc_ordinal', 'review_perc_org', 'review_perc_percent', 'review_perc_person', 'review_perc_product', 'review_perc_quantity', 'review_perc_time', 'review_perc_work_of_art']"
